SATISFACCION_GLOBAL;VALORACION_COSTE_GLOBAL;VAL_CAL_GLOB;VAL_CAL_PREC;RECOMENDACION;NECESIDAD_CLIENTE;CAPACIDAD_RESOLUCION;PROCESO_ADQUISICION;SATISFACCION_PV;ACCESO_VENDEDOR_PV;DISPONIBILIDAD_PRODUCTOS_PV;ATENCION_PV;ASPECTO_PV;SOLUCION_PV;SAT_TELEFONO_PROPIO;SATISFACCION_GAMA;SAT_CALIDAD_COMUNICACION;COBERTURA_INTERIORES;COBERTURA_EXTERIORES;NITIDEZ;INTERRUPCIONES;INTENTOS_LLAMADA;TIEMPO_CONEXION;SATISFACCION_ROAMING;SATISFACCION_CC;FACILIDAD_ACCESO_CC;CALIDAD_INFORMACION_CC;AMABILIDAD_CC;RAPIDEZ_SOLUCION_CC;SATISFACCION_WEB;SAT_AREA_CLI;SATISFACCION_TIENDA_WEB;SAT_SERV_DAT;VAL_SERV_NAV;SATISFACCION_FACTURA;ACCESIBILIDAD_FACTURA;CLARIDAD_FACTURA;PUNTUALIDAD_FACTURA;ERROR_FACTURA;VALORACION_TARIFAS;VAL_TAR_PERS;VALORACION_PROMOCIONES;VALORACION_RENOVE;VALORACION_INFORMACION;IMAGEN;CONFIANZA_TRATO;FIDELIDAD_CODIGO;ESFUERZO;ANIO;Q;SEXO;operador_agr;EDAD
10;9;10;10;10;2;10;10;10;8;10;10;10;10;10;10;10;8;10;10;10;10;10;;;;;;;;;;;10;10;10;10;10;2;8;8;10;10;10;8;10;9;;2013;2;Mujer     ;operador D  ;65
5;6;6;5;5;2;5;5;;;;;;;5;5;;;;;;;;;;;;;;;;;;;1;1;2;0;2;5;5;5;5;0;5;3;3;;2013;2;Hombre    ;operador D  ;48
8;8;10;9;8;2;8;9;;;;;;;10;0;10;9;10;9;9;9;9;;;;;;;;;;;;8;10;8;10;2;8;10;;;10;8;8;9;;2013;2;Hombre    ;operador D  ;44
9;7;9;8;8;2;8;9;;;;;;;8;8;8;7;8;8;8;8;8;;7;8;8;10;9;8;8;;;8;9;8;9;9;1;6;;5;;6;8;6;3;;2013;2;Mujer     ;operador D  ;44
5;2;7;5;2;2;0;3;8;6;10;9;10;8;2;4;7;8;7;7;7;7;7;;6;8;6;7;6;4;;;;;6;6;5;8;1;7;6;5;;3;4;0;1;;2013;2;Mujer     ;operador D  ;34
8;7;8;8;7;2;8;7;;;;;;;8;7;8;7;8;8;8;10;9;8;;;;;;7;7;;7;8;3;8;7;8;1;6;5;6;;8;7;7;7;;2013;2;Mujer     ;operador D  ;33
5;4;5;5;4;2;1;0;;;;;;;10;6;8;7;9;9;9;9;9;;3;5;0;5;;4;;;;5;5;5;5;3;2;4;;3;6;3;3;3;3;;2013;2;Mujer     ;operador D  ;47
7;5;7;6;5;2;8;8;;;;;;;9;8;9;9;9;9;9;9;7;;7;3;7;7;4;;;;;5;4;5;5;5;2;4;5;4;;3;5;6;5;;2013;2;Mujer     ;operador D  ;37
8;5;8;6;8;1;8;9;9;7;7;9;9;9;5;5;8;8;10;9;8;9;9;;8;7;9;9;10;7;7;;;8;9;8;10;9;2;7;7;1;6;2;8;8;7;;2013;2;Mujer     ;operador D  ;31
6;7;5;;4;2;3;4;;;;;;;4;4;7;7;7;7;7;7;8;;4;4;3;8;;;;;;;8;8;8;8;2;;;0;1;2;4;4;5;;2013;2;Mujer     ;operador D  ;47
5;6;6;6;6;2;6;8;;;;;;;7;8;8;8;8;8;8;8;8;8;7;7;7;8;7;7;7;;;7;8;8;8;8;2;7;7;7;7;8;7;7;9;;2013;2;Hombre    ;operador D  ;42
8;7;8;8;7;2;8;9;8;6;8;8;8;8;9;8;9;8;9;8;9;9;8;;7;7;7;8;8;7;;;8;8;7;8;7;8;2;8;8;8;;7;8;8;7;;2013;2;Hombre    ;operador D  ;38
6;7;7;7;7;2;7;;6;4;6;6;8;7;6;7;6;7;9;6;8;9;6;;7;3;7;7;6;;;;6;8;6;6;6;7;2;7;8;7;;6;8;8;7;;2013;2;Mujer     ;operador D  ;39
8;8;8;8;8;2;8;8;8;8;8;8;8;8;7;6;8;8;7;8;8;8;8;8;8;6;8;8;8;;;;;9;7;6;7;5;2;7;8;9;;6;7;5;7;;2013;2;Hombre    ;operador D  ;40
0;5;0;0;0;1;0;0;0;5;0;0;5;0;5;5;4;3;4;5;4;5;5;;0;0;0;5;;;;;;0;5;5;5;8;1;5;0;0;;0;0;0;1;;2013;2;Hombre    ;operador D  ;45
8;8;8;8;8;2;8;6;;;;;;;9;7;8;6;8;8;8;8;8;8;8;7;8;8;7;8;8;7;;8;8;9;9;9;1;8;8;8;5;8;9;8;7;;2013;2;Hombre    ;operador D  ;41
8;6;8;8;8;2;8;8;;;;;;;7;4;8;8;8;8;10;8;8;6;8;9;8;10;10;;;;;8;5;6;8;8;2;5;;8;;4;8;8;7;;2013;2;Mujer     ;operador D  ;31
6;6;5;6;7;2;5;7;7;4;7;7;8;7;6;7;6;5;6;6;6;6;6;;5;4;5;7;5;6;7;6;;8;9;7;8;6;2;5;5;6;0;6;7;6;3;;2013;2;Hombre    ;operador D  ;49
8;6;8;8;8;1;7;8;;;;;;;9;5;8;8;8;9;9;6;7;8;7;4;5;6;6;;;;5;8;8;8;8;8;1;8;8;7;2;8;8;8;9;;2013;2;Hombre    ;operador D  ;40
6;7;7;7;7;2;5;6;;;;;;;7;7;7;7;8;8;8;8;7;7;7;6;6;7;6;7;7;;8;8;7;8;7;8;1;7;7;6;7;6;7;6;9;;2013;2;Mujer     ;operador D  ;50
8;8;8;6;6;1;8;8;7;4;7;7;8;6;10;9;9;7;8;8;8;9;9;7;7;8;8;9;;6;7;;;;9;9;9;9;1;7;8;4;4;8;8;7;7;;2013;2;Hombre    ;operador D  ;53
7;6;7;5;3;2;2;4;;;;;;;7;1;8;8;8;8;8;7;8;;8;3;5;5;6;;;;;;2;6;6;7;1;4;;4;7;8;8;8;5;;2013;2;Hombre    ;operador D  ;63
10;10;10;10;10;2;10;10;10;10;10;10;10;10;8;10;8;10;8;10;8;7;8;10;;;;;;8;;;10;8;7;;8;8;2;10;10;10;10;8;10;10;9;;2013;2;Mujer     ;operador D  ;46
8;7;8;7;7;1;7;7;;;;;;;8;8;7;8;8;8;8;8;8;5;8;6;7;8;7;8;8;8;8;7;8;8;8;8;1;8;8;6;8;8;8;8;7;;2013;2;Mujer     ;operador D  ;29
2;3;1;3;2;2;0;7;8;7;10;9;10;10;5;7;0;0;9;9;9;9;9;9;0;2;0;1;;2;2;3;6;6;3;4;7;0;2;2;6;0;6;6;2;3;1;;2013;2;Hombre    ;operador D  ;30
6;6;10;8;8;1;10;8;10;8;8;8;10;8;6;8;10;10;10;10;10;10;10;10;10;9;9;9;9;8;8;8;;8;9;9;9;9;2;7;6;5;6;7;8;8;7;;2013;2;Hombre    ;operador D  ;62
8;7;8;6;7;2;10;8;;;;;;;8;8;8;3;8;8;8;8;8;8;10;9;9;10;10;8;8;8;7;9;8;8;8;8;2;8;8;8;;8;9;8;7;;2013;2;Mujer     ;operador D  ;35
9;8;8;8;8;2;8;8;;;;;;;9;9;8;8;8;9;10;7;9;;9;7;8;8;8;7;7;7;8;8;5;8;5;8;1;7;7;5;7;7;8;8;9;;2013;2;Mujer     ;operador D  ;34
7;8;7;8;8;2;6;9;;;;;;;9;9;10;10;10;10;10;10;10;10;6;6;6;10;6;;;;9;9;9;9;8;9;2;9;;9;9;8;9;8;7;;2013;2;Mujer     ;operador D  ;29
8;5;7;7;10;2;5;6;8;8;8;8;10;8;10;10;8;8;4;8;5;10;8;;3;3;3;8;;10;8;;;10;10;10;10;10;2;5;10;5;0;8;8;5;7;;2013;2;Mujer     ;operador D  ;40
5;5;0;5;5;1;5;5;4;4;8;5;10;5;5;5;7;7;9;9;8;5;7;8;0;0;0;4;0;3;3;5;0;10;1;3;0;10;1;0;0;0;0;10;5;10;9;;2013;2;Mujer     ;operador D  ;38
8;6;8;7;7;2;7;;7;6;;8;8;10;5;8;4;4;5;6;6;6;7;7;;;;;;8;8;;8;7;8;8;6;8;2;8;6;3;6;6;8;8;7;;2013;2;Mujer     ;operador D  ;40
8;4;7;6;5;2;8;8;5;6;5;6;8;6;9;9;7;8;7;7;7;8;9;8;8;6;7;9;7;6;6;;;8;7;7;8;7;2;6;6;1;2;4;6;7;7;;2013;2;Hombre    ;operador D  ;37
10;10;10;10;10;2;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;;10;10;10;10;10;10;2;10;10;10;10;10;10;10;9;;2013;2;Mujer     ;operador D  ;44
5;4;5;5;3;1;5;4;4;4;4;4;5;4;5;6;7;7;7;5;5;4;5;;5;4;5;7;6;;;;5;5;4;4;4;5;1;4;5;0;;0;3;5;1;;2013;2;Mujer     ;operador D  ;47
7;6;7;6;6;2;7;7;;;;;;;7;7;7;7;9;9;7;7;6;;;;;;;;;;;;7;7;9;7;2;7;9;7;;7;8;7;7;;2013;2;Mujer     ;operador D  ;30
8;7;8;7;9;1;8;9;;;;;;;9;9;9;8;9;8;9;8;8;8;;;;;;9;;;8;8;7;7;7;8;2;7;7;7;6;7;8;7;9;;2013;2;Mujer     ;operador D  ;37
4;2;3;3;;2;0;0;0;0;0;2;8;0;9;9;8;9;9;9;8;9;4;;3;3;0;9;;8;;;;8;7;5;4;5;2;0;0;3;;4;5;5;3;;2013;2;Mujer     ;operador D  ;57
7;6;7;7;6;2;5;6;6;5;5;7;8;5;8;8;7;6;8;7;6;8;8;8;7;3;4;7;;6;;;7;7;7;8;7;6;2;7;7;6;7;6;7;6;7;;2013;2;Mujer     ;operador D  ;40
8;8;8;8;8;2;10;10;10;5;6;10;10;10;8;10;8;8;8;8;10;10;8;;;;;;;;;;;9;10;10;10;10;1;10;10;10;;8;8;10;9;;2013;2;Mujer     ;operador D  ;41
5;5;7;7;6;1;8;6;4;6;7;6;9;8;10;2;7;4;7;7;7;9;9;4;8;5;6;9;6;8;7;;;6;5;8;5;7;2;7;6;2;;2;4;4;7;;2013;2;Hombre    ;operador D  ;29
4;5;6;5;3;1;0;;6;7;6;7;10;3;7;5;6;6;8;8;7;7;7;;;;;;;;;;;8;5;3;1;8;1;3;4;0;;0;5;2;3;;2013;2;Hombre    ;operador D  ;51
7;5;7;7;7;2;8;8;8;7;8;8;9;8;8;8;8;9;9;9;9;9;9;;;;;;;;;;;;8;8;8;8;2;5;6;5;;3;7;7;7;;2013;2;Mujer     ;operador D  ;44
9;9;8;9;10;2;10;9;8;8;8;7;8;8;10;9;9;9;9;9;9;9;9;;;;;;;;;;;;9;8;9;8;2;8;9;7;;9;8;9;9;;2013;2;Mujer     ;operador D  ;46
7;5;7;7;6;1;3;4;6;6;8;6;9;8;7;6;6;4;4;6;6;7;7;;6;1;0;2;2;5;;;;6;8;7;7;7;2;5;;5;;5;5;5;3;;2013;2;Hombre    ;operador D  ;45
9;7;8;7;8;1;6;9;9;7;9;9;10;8;9;8;9;7;9;9;8;9;9;;8;6;6;9;4;8;7;;8;7;7;7;7;9;2;8;10;4;4;9;9;9;9;;2013;2;Hombre    ;operador D  ;39
5;0;6;3;5;2;5;5;5;5;0;5;8;0;5;0;7;6;7;7;4;7;8;7;6;4;3;8;;7;9;;8;8;7;8;5;8;1;5;4;5;5;4;6;6;7;;2013;2;Mujer     ;operador D  ;46
10;9;9;10;10;8;10;9;10;9;9;9;10;10;9;10;10;10;10;8;9;10;10;;;;;;;;;;;;10;;;;;10;10;8;10;10;10;9;9;10;2012;1;Hombre    ;operador E     ;66
8;7;8;7;9;;9;8;7;9;5;8;7;8;7;6;6;8;8;7;5;7;7;;8;6;10;9;8;;;;;;8;8;8;9;2;8;7;8;5;7;8;9;7;;2012;3;Hombre    ;operador E     ;34
5;2;5;5;5;;8;8;;;;;;;8;1;4;5;5;4;2;2;3;;5;8;7;9;10;;;;;;10;10;8;10;2;10;10;0;;0;5;5;5;;2013;1;Mujer     ;operador E     ;20
5;5;3;3;0;;1;5;;;;;;;0;4;2;2;3;5;5;7;2;;1;1;0;2;0;;;;;;5;2;3;0;2;2;3;4;;5;4;4;1;;2012;4;Hombre    ;operador E     ;28
7;6;8;7;7;;5;8;5;5;5;5;10;3;8;6;10;10;10;7;10;10;10;;3;5;0;5;;;;;9;9;10;9;9;9;2;9;9;9;;8;9;7;7;;2012;4;Mujer     ;operador E     ;45
7;6;4;5;5;;5;6;;;;;;;7;7;3;3;6;4;2;3;4;;5;6;6;8;6;;;;;6;7;7;7;7;2;6;6;5;6;5;6;7;7;;2013;1;Hombre    ;operador E     ;41
8;6;7;7;9;;8;7;;;;;;;3;8;5;2;5;3;4;5;8;;8;6;6;7;5;6;9;;;7;8;8;8;10;2;10;10;1;;3;6;7;9;;2012;4;Mujer     ;operador E     ;19
10;10;9;10;9;1;10;10;10;9;9;10;10;10;8;9;9;10;10;9;8;10;10;;;;;;;10;9;;10;8;10;9;10;10;2;9;10;8;7;8;10;10;9;;2013;2;Mujer     ;operador E     ;25
8;8;7;7;8;2;9;8;;;;;;;8;8;9;8;9;7;8;9;9;;;;;;;;;;;;7;8;8;8;2;9;9;7;;7;8;8;9;;2013;2;Hombre    ;operador E     ;19
9;10;10;10;8;1;9;10;10;9;10;10;9;10;10;0;10;10;10;10;10;10;10;10;;;;;;10;;10;;10;10;10;10;10;2;10;10;10;10;10;10;10;9;;2013;2;Hombre    ;operador E     ;40
6;5;5;8;5;;4;5;4;5;5;5;9;4;1;6;7;6;7;7;6;5;8;;3;2;3;6;4;5;5;;;5;7;5;5;6;1;6;6;1;5;5;5;4;3;;2012;4;Mujer     ;operador E     ;21
10;10;10;8;8;2;8;8;8;7;10;8;10;9;9;10;9;9;10;10;10;9;8;;;;;;;;;;;;9;9;10;9;2;10;;5;10;5;10;10;7;;2013;2;Hombre    ;operador E     ;60
8;8;8;8;9;6;7;6;3;7;2;4;7;4;5;4;7;7;7;7;7;8;9;;;;;;;9;7;7;5;5;9;;;;;7;8;0;4;6;7;7;9;6;2012;1;Mujer     ;operador E     ;30
6;5;7;6;5;;3;8;;;;;;;0;0;8;9;10;8;10;8;10;;0;0;3;8;;8;10;7;8;8;8;8;9;10;2;7;8;0;;0;6;6;1;;2013;1;Mujer     ;operador E     ;32
10;10;10;8;10;;10;10;;;;;;;7;8;9;10;10;10;10;10;10;;10;8;8;10;7;9;9;10;10;8;10;8;10;10;2;10;10;7;8;8;10;9;9;;2012;3;Hombre    ;operador E     ;33
5;4;6;5;5;1;5;4;;;;;;;9;8;5;6;7;6;4;3;7;5;7;6;7;6;6;1;1;8;6;8;7;9;9;7;2;7;8;9;0;5;7;6;7;;2013;2;Hombre    ;operador E     ;23
9;9;10;8;10;2;9;9;;;;;;;8;0;8;10;10;9;9;9;8;;10;9;10;10;10;;;;;;10;8;10;10;2;8;;9;;8;8;9;9;;2013;2;Mujer     ;operador E     ;78
9;8;8;9;10;;8;8;8;7;8;8;9;8;9;8;9;8;9;9;9;8;9;;8;8;9;9;9;9;8;9;8;8;9;9;9;9;2;9;9;9;9;9;9;9;9;;2012;4;Hombre    ;operador E     ;32
10;7;7;7;10;2;10;10;10;7;10;10;10;10;10;10;7;8;10;10;10;10;10;;10;6;10;10;7;;;;;8;10;10;10;10;2;10;10;10;;5;8;9;9;;2013;2;Mujer     ;operador E     ;40
8;9;9;7;9;;8;9;9;9;8;9;10;9;4;8;9;8;9;10;8;9;9;;;;;;;10;9;9;;9;10;9;10;10;2;8;9;5;8;8;7;9;9;;2012;4;Hombre    ;operador E     ;21
10;8;10;8;10;2;0;10;10;10;8;10;10;8;10;10;10;10;10;10;10;9;10;;10;10;10;10;10;;;;10;;10;10;10;10;2;10;;6;10;8;10;10;9;;2013;2;Mujer     ;operador E     ;43
8;10;8;9;10;2;10;6;8;8;3;10;10;9;10;5;7;5;7;10;10;10;10;8;9;6;10;10;9;9;8;8;;9;8;9;10;8;2;10;10;0;8;8;9;9;7;;2013;2;Mujer     ;operador E     ;49
5;6;6;4;5;;3;5;5;3;3;3;8;3;5;5;10;8;8;7;7;7;6;;;;;;;;;;;;6;5;7;7;2;7;;10;;5;5;6;1;;2012;3;Hombre    ;operador E     ;48
10;10;10;10;10;;10;10;0;0;0;0;10;0;10;10;10;10;10;10;10;10;10;;10;10;10;10;10;10;;10;10;10;10;10;10;10;2;10;10;10;10;10;10;10;9;;2013;1;Mujer     ;operador E     ;36
9;9;10;10;10;10;8;5;4;9;;9;10;;10;10;10;7;10;10;10;10;8;;9;5;9;8;;10;;10;;;5;;;;;8;8;8;9;8;7;8;1;6;2012;1;Hombre    ;operador E     ;31
9;9;10;9;10;9;9;8;8;7;5;8;9;8;7;9;9;7;9;9;7;6;6;;9;9;9;9;9;9;9;8;;;8;;;;;8;8;8;7;8;9;9;9;5;2012;1;Mujer     ;operador E     ;31
5;8;6;6;7;8;5;7;9;10;10;10;9;10;6;0;6;6;8;7;5;7;4;7;8;5;4;4;6;8;7;;;;9;;;;;9;8;7;;5;7;5;7;6;2012;1;Hombre    ;operador E     ;17
9;7;9;8;10;;9;9;9;9;9;9;10;9;9;9;9;9;9;9;10;10;10;;9;9;9;9;8;;;;;;8;8;8;10;2;9;9;7;8;7;9;9;9;;2013;1;Mujer     ;operador E     ;36
8;9;6;8;9;6;6;6;6;6;0;4;8;3;7;4;5;7;7;6;3;5;5;;6;6;6;8;;8;8;4;;;10;;;;;9;8;3;6;7;7;6;7;5;2012;1;Hombre    ;operador E     ;29
9;8;8;8;9;8;7;9;10;10;9;10;9;9;8;9;8;9;9;9;9;8;7;;;;;;;;;;9;10;9;;;;;8;9;7;;8;9;9;9;9;2012;1;Hombre    ;operador E     ;35
10;10;0;10;10;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;10;10;10;10;10;;;;;10;;;;;2;10;10;10;;10;10;10;7;;2013;1;Mujer     ;operador E     ;56
8;9;9;8;10;9;8;9;;;;;;;8;7;9;9;9;10;10;8;9;;;;;;;10;10;;;9;10;;;;;9;8;6;;6;9;9;9;10;2012;1;Mujer     ;operador E     ;19
9;9;9;10;10;;7;9;8;9;5;10;10;10;5;8;8;10;10;10;9;8;9;;8;8;9;8;;;;;;10;10;10;10;10;2;7;;0;8;0;10;10;9;;2013;1;Mujer     ;operador E     ;41
10;10;8;9;9;;8;4;;;;;;;10;8;9;10;10;10;10;10;10;;9;10;9;9;;;;;;7;10;10;10;10;2;10;10;6;;5;8;9;9;;2013;1;Hombre    ;operador E     ;47
7;8;8;8;9;;7;6;7;5;6;6;9;6;9;5;6;7;8;9;9;6;6;2;9;6;9;9;9;6;6;6;7;9;7;7;7;8;2;9;8;8;1;8;8;8;9;;2012;3;Hombre    ;operador E     ;63
8;8;7;9;10;1;8;5;8;4;8;7;9;8;10;10;10;10;10;10;10;10;10;;2;0;4;8;0;;;;9;;8;7;0;10;2;10;10;8;;8;7;7;9;;2013;2;Hombre    ;operador E     ;52
9;8;8;8;8;;8;9;9;7;10;9;10;10;10;10;9;9;10;9;9;10;10;;10;10;9;9;10;10;8;9;8;9;10;8;10;10;2;10;10;10;10;5;9;9;9;;2012;3;Mujer     ;operador E     ;31
10;10;10;10;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;;;10;10;10;;;;;10;10;10;10;10;10;10;9;10;2012;1;Mujer     ;operador E     ;21
8;8;7;9;8;6;7;9;6;10;10;7;10;9;8;3;8;5;9;9;10;9;9;;;;;;;9;9;8;6;7;9;;;;;8;9;3;;4;8;7;7;7;2012;1;Mujer     ;operador E     ;27
8;9;9;9;9;;9;9;;;;;;;1;10;10;10;10;10;10;10;10;;;;;;;10;10;10;0;;9;10;;9;2;9;10;0;0;9;9;9;7;;2013;1;Hombre    ;operador E     ;31
8;7;8;7;8;;9;8;9;9;8;9;9;9;6;7;8;7;8;9;8;8;8;;6;5;6;8;6;7;7;;8;8;8;7;7;8;2;8;9;5;5;4;7;7;9;;2012;3;Hombre    ;operador E     ;55
8;10;7;9;9;1;4;8;4;8;7;4;8;4;4;0;8;8;9;8;8;8;8;;3;8;3;3;;8;8;;;5;7;8;8;8;2;9;9;4;4;;8;4;3;;2013;2;Mujer     ;operador E     ;35
5;5;3;4;5;4;4;5;5;10;5;4;10;5;10;10;5;0;0;10;10;10;10;10;;;;;;;;;10;10;5;;;;;3;;;;5;5;4;7;5;2012;1;Mujer     ;operador E     ;37
7;8;8;8;9;;6;7;9;7;6;7;9;5;8;5;6;7;7;7;7;7;8;;6;5;5;6;5;;;;;;9;9;9;7;2;9;9;7;6;7;8;8;9;;2013;1;Mujer     ;operador E     ;46
6;7;7;8;7;6;8;7;;;;;;;5;4;7;8;9;6;6;10;4;;;;;;;8;9;;;;7;;;;;6;6;6;4;6;7;6;9;6;2012;1;Hombre    ;operador E     ;18
10;10;10;10;10;1;10;10;;;;;;;7;10;10;8;10;10;10;10;10;;;;;;;10;;;;10;10;10;10;10;2;10;10;0;;0;9;10;9;;2013;2;Hombre    ;operador E     ;47
10;8;8;9;10;;8;9;8;10;8;8;10;10;8;9;6;6;7;9;8;10;9;;;;;;;;;;;;10;8;10;10;2;8;7;7;;;8;10;9;;2012;3;Mujer     ;operador E     ;38
9;7;9;8;9;;9;9;8;8;7;8;9;8;9;9;9;8;9;9;9;9;8;9;9;8;10;10;9;9;9;;;9;10;9;9;8;2;9;9;8;7;8;9;8;3;;2013;1;Hombre    ;operador E     ;19
10;10;8;10;10;;8;10;10;9;10;10;10;10;10;10;10;8;10;10;9;9;9;;10;10;10;10;10;;;;;10;10;9;10;10;2;10;10;9;;10;10;10;9;;2013;1;Hombre    ;operador E     ;31
5;4;8;6;5;;;0;;;;;;;5;7;8;7;8;9;8;8;5;;8;7;8;8;5;;;;5;;9;8;8;9;2;6;5;;;0;7;5;7;;2012;4;Hombre    ;operador E     ;19
9;9;9;10;10;9;9;9;9;9;9;10;10;10;9;8;8;8;10;10;10;10;10;;9;10;9;10;10;10;;9;9;10;10;;;;;10;10;7;10;10;10;10;9;9;2012;1;Mujer     ;operador E     ;42
9;9;8;9;9;;8;10;10;8;10;8;9;10;9;8;9;6;10;10;10;10;10;;10;10;9;10;10;;;;9;9;8;7;7;10;2;8;10;8;10;9;9;9;9;;2013;1;Mujer     ;operador E     ;55
10;9;7;9;10;;7;6;8;6;7;10;6;9;5;7;7;5;6;8;8;9;6;9;7;9;6;10;5;9;9;10;;10;5;7;5;2;2;9;10;10;;4;9;8;7;;2012;4;Mujer     ;operador E     ;26
8;8;10;8;8;;8;10;8;8;8;8;8;8;10;10;10;10;10;8;10;10;10;;8;8;8;8;8;8;;8;6;8;7;10;10;8;2;10;8;10;10;8;10;10;9;;2013;1;Hombre    ;operador E     ;34
8;7;8;8;8;8;9;9;8;8;9;9;9;9;9;8;9;9;9;9;9;8;9;8;;;;;;;;;;;9;;;;;8;9;6;7;6;8;9;9;10;2012;1;Hombre    ;operador E     ;39
8;10;5;5;10;10;8;10;10;10;10;10;10;10;5;0;10;10;10;10;10;10;10;;10;8;10;10;8;;;;;;10;;;;;;10;;10;10;10;10;7;10;2012;1;Hombre    ;operador E     ;68
6;6;6;5;10;;10;6;;;;;;;7;7;5;5;6;6;6;6;6;;;;;;;;;;;;7;7;7;7;2;7;;7;;5;5;5;9;;2012;3;Hombre    ;operador E     ;64
7;6;8;7;5;4;5;3;8;7;3;8;8;5;10;0;7;7;8;3;10;10;7;;7;0;2;4;0;;;;;;4;;;;;3;8;3;;6;8;3;7;0;2012;1;Hombre    ;operador E     ;24
9;9;7;8;8;;5;9;5;5;8;9;10;7;8;8;7;7;5;8;8;9;5;;;;;;;;;;;;9;9;10;9;2;8;8;5;8;9;8;10;5;;2013;1;Mujer     ;operador E     ;43
10;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;;10;10;10;10;10;10;2;10;10;10;10;10;10;10;9;;2013;2;Hombre    ;operador E     ;65
7;6;7;6;5;2;6;6;;;;;;;10;2;7;8;8;8;8;10;8;;;;;;;;;;;;10;7;9;9;2;7;8;;0;6;8;7;7;;2013;2;Hombre    ;operador E     ;32
10;10;10;10;10;;10;9;;;;;;;10;10;10;10;10;10;10;10;10;;10;5;10;10;7;9;;;;;10;10;10;10;2;10;10;10;;10;10;10;7;;2012;4;Hombre    ;operador E     ;50
5;4;4;4;0;;5;6;6;7;7;7;8;7;9;9;3;2;7;4;4;2;4;;7;7;6;8;6;;;;;4;8;7;7;7;2;3;5;0;7;3;3;4;1;;2012;3;Hombre    ;operador E     ;39
8;8;7;8;10;;10;8;10;10;8;10;9;10;8;8;9;9;9;9;9;9;9;;8;7;8;8;7;;;;;;9;;8;8;2;7;7;7;7;7;7;8;9;;2012;3;Hombre    ;operador E     ;52
8;7;8;7;9;1;7;8;8;8;8;8;9;8;9;6;8;7;8;7;7;8;8;;8;8;8;8;8;;;;;8;8;8;8;8;2;7;8;5;5;8;8;8;7;;2013;2;Hombre    ;operador E     ;42
6;4;6;4;4;5;5;8;5;6;5;6;6;5;6;8;5;5;6;6;5;5;6;;;;;;;8;;8;;;6;;;;;5;5;2;;2;5;5;3;2;2012;1;Hombre    ;operador E     ;47
10;9;10;10;10;;8;10;;;;;;;10;0;10;8;10;9;10;10;8;;7;5;0;9;;;;;;;10;10;10;8;2;10;10;10;;7;9;10;7;;2012;4;Hombre    ;operador E     ;38
7;6;6;7;7;6;4;9;;;;;;;2;0;9;9;9;9;9;9;9;9;1;1;0;0;;4;;;;;7;;;;;7;7;1;1;5;6;4;7;1;2012;1;Hombre    ;operador E     ;30
8;9;8;9;10;;9;10;;;;;;;10;9;10;9;9;10;10;10;8;;;;;;;;;;10;;10;9;9;9;2;10;10;5;;5;8;10;7;;2012;4;Mujer     ;operador E     ;59
8;7;7;7;8;7;7;9;;;;;;;8;8;6;6;7;8;5;6;7;;;;;;;8;7;;;;8;;;;;8;9;7;8;7;7;7;7;8;2012;1;Hombre    ;operador E     ;27
8;8;8;8;9;3;9;8;8;7;0;10;10;0;5;2;9;9;9;9;9;8;9;;10;8;8;9;9;7;7;8;;8;8;;;;;8;9;2;0;8;8;8;7;0;2012;1;Hombre    ;operador E     ;31
10;10;10;10;10;;10;10;10;10;10;10;10;10;7;7;10;10;10;10;10;10;10;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;2;10;10;10;10;10;10;10;9;;2013;1;Mujer     ;operador E     ;44
10;5;10;7;10;;10;6;10;10;10;10;10;10;5;10;10;10;10;10;10;10;10;;10;5;10;10;;10;10;;10;;6;6;5;7;2;3;5;10;10;10;10;10;9;;2012;3;Hombre    ;operador E     ;62
7;7;5;7;8;;8;7;6;8;6;8;10;7;7;5;9;6;9;8;8;8;6;;;;;;;7;;7;;;8;8;7;10;2;6;;6;5;6;5;6;7;;2013;1;Hombre    ;operador E     ;31
9;9;9;8;9;;10;10;9;9;9;8;9;10;10;6;10;9;10;10;10;10;8;;9;8;9;10;10;9;10;10;8;9;9;9;10;10;2;10;10;7;9;9;10;10;9;;2012;3;Hombre    ;operador E     ;31
7;8;6;10;8;;4;5;;;;;;;2;2;2;2;2;4;5;1;3;;5;1;3;7;6;;;;;5;7;5;5;6;2;8;9;2;;0;3;4;5;;2013;1;Mujer     ;operador E     ;45
10;9;10;10;10;8;8;10;8;7;10;10;10;8;9;10;10;7;9;10;10;10;10;;9;10;10;10;8;;;;10;10;10;;;;;10;9;10;7;9;10;10;7;10;2012;1;Hombre    ;operador E     ;52
5;6;8;0;4;0;4;5;7;6;8;9;9;6;4;3;8;8;8;7;7;8;7;;;;;;;;;;;;6;;;;;;6;6;;4;7;7;1;5;2012;1;Hombre    ;operador E     ;34
