"LUGAR";"MES";"ANIO";"HORA";"HORA_C";"IMP_BOL";"PUNTOS";"DENUNCIANTE";"CALIFICACION";"CAT";"HECHO.BOL";"VEL_LIMITE";"VEL_CIRCULA";"lat";"lon"
"CENICERO 13, MADRID, SPAIN";5;2015;17.34;17;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4099542;-3.6932237
"LOPEZ DE HOYOS 38, MADRID, SPAIN";6;2015;10.29;10;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4393613;-3.6820445
"PEZ VOLADOR 30, MADRID, SPAIN";12;2015;17.4;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4135271;-3.6648673
"JUAN VIGON 10, MADRID, SPAIN";5;2015;13.38;13;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4419011;-3.7106797
"TRANSVERSAL 9, MADRID, SPAIN";6;2015;20.05;20;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.457234;-3.6653942
"MAESTRO GUERRERO 1, MADRID, SPAIN";4;2015;10.45;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4242255;-3.7107486
"FRANCISCO RICCI 5, MADRID, SPAIN";5;2015;11.05;11;200;0;"SER";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR OBSTACULIZANDO LA UTILIZACIÓN DE UN VADO SEÑALIZADO CORRECTAMENTE Y EN ACCESOS A INMUEBLES.";NA;NA;40.4309753;-3.712363
"VILLAAMIL 19, MADRID, SPAIN";10;2015;13.35;13;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4578869;-3.7062982
"ORENSE 15, MADRID, SPAIN";4;2015;14.01;14;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4201317;-3.8349305
"GRAFAL-TINTOREROS, MADRID, SPAIN";7;2015;12.25;12;200;3;"POLICIA MUNICIPAL";"GRAVE";"OTROS";"EFECTUAR UN CAMBIO DE SENTIDO PROHIBIDO.";NA;NA;40.4167754;-3.7037902
