var_provincia;var_sexo;var_tipocontrato;var_grupo_cnae;var_tipojornada;var_antiguedad;salario_bruto_anual_medio;factor_elev
1;mujer;Temporal;J;Tiempo parcial;Más de diez años;10205.16;17.25
1;mujer;Temporal;K;Tiempo completo;Menos de dos años;20433.11665;27.11
1;mujer;Temporal;M;Tiempo completo;Menos de dos años;16192.81927;526.64
1;mujer;Temporal;M;Tiempo parcial;De dos a cinco años;6371.55;143.75
1;mujer;Temporal;N;Tiempo completo;De cinco a diez años;16207.97525;46.96
1;mujer;Temporal;N;Tiempo completo;Menos de dos años;18765.44546;199.29
1;mujer;Temporal;N;Tiempo parcial;De dos a cinco años;11584.06848;37.35
1;mujer;Temporal;N;Tiempo parcial;Menos de dos años;7059.971278;48.36
1;mujer;Temporal;O;Tiempo completo;De cinco a diez años;37253.18295;305.76
1;mujer;Temporal;O;Tiempo completo;De dos a cinco años;26012.97738;152.88
1;mujer;Temporal;O;Tiempo completo;Más de diez años;39197.67957;360.96
1;mujer;Temporal;O;Tiempo completo;Menos de dos años;34834.0701;276
1;mujer;Temporal;O;Tiempo parcial;De cinco a diez años;11887.4;21.24
1;mujer;Temporal;O;Tiempo parcial;De dos a cinco años;19014.51;37.8
1;mujer;Temporal;O;Tiempo parcial;Menos de dos años;16366.97681;37.8
1;mujer;Temporal;P;Tiempo completo;De cinco a diez años;31326.79729;429.9
1;mujer;Temporal;P;Tiempo completo;De dos a cinco años;27338.10886;221.58
1;mujer;Temporal;P;Tiempo completo;Más de diez años;36680.22049;548.38
1;mujer;Temporal;P;Tiempo completo;Menos de dos años;12426.59705;106.4
1;mujer;Temporal;P;Tiempo parcial;De cinco a diez años;17241.84211;65.36
1;mujer;Temporal;P;Tiempo parcial;Más de diez años;9845.157705;105.99
1;mujer;Temporal;P;Tiempo parcial;Menos de dos años;8119.728455;539.64
1;mujer;Temporal;Q;Tiempo completo;De cinco a diez años;38102.36349;811.9
1;mujer;Temporal;Q;Tiempo completo;De dos a cinco años;31955.40154;800.6
1;mujer;Temporal;Q;Tiempo completo;Más de diez años;34841.61067;219.3
1;mujer;Temporal;Q;Tiempo completo;Menos de dos años;31437.92376;1271.06
1;mujer;Temporal;Q;Tiempo parcial;De cinco a diez años;18648.2;75.92
1;mujer;Temporal;Q;Tiempo parcial;De dos a cinco años;13384.12718;130.66
1;mujer;Temporal;Q;Tiempo parcial;Más de diez años;14655.49288;166.6
1;mujer;Temporal;Q;Tiempo parcial;Menos de dos años;10746.98413;878.41
1;mujer;Temporal;R;Tiempo completo;Menos de dos años;14369.02;91.2
1;mujer;Temporal;R;Tiempo parcial;Menos de dos años;10076.27405;90
1;mujer;Temporal;S;Tiempo completo;Más de diez años;16218.4937;369.31
1;mujer;Temporal;S;Tiempo completo;Menos de dos años;13977.86253;371.33
1;mujer;Temporal;S;Tiempo parcial;Menos de dos años;5574.765334;118.12
2;hombre;Indefinido;B;Tiempo completo;De cinco a diez años;47703.27896;30.92
2;hombre;Indefinido;B;Tiempo completo;De dos a cinco años;26733.86508;31.92
2;hombre;Indefinido;B;Tiempo completo;Más de diez años;14983.04444;53.21
2;hombre;Indefinido;B;Tiempo completo;Menos de dos años;9468.87;2
2;hombre;Indefinido;C;Tiempo completo;De cinco a diez años;22416.07183;2237.44
2;hombre;Indefinido;C;Tiempo completo;De dos a cinco años;21868.45764;1110.7
2;hombre;Indefinido;C;Tiempo completo;Más de diez años;25958.47478;4985.34
2;hombre;Indefinido;C;Tiempo completo;Menos de dos años;21179.00669;1395.11
